testkevin0	Unassigned;Other
testkevin188	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__
testkevin189	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales
testkevin190	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales
testkevin191	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
testkevin192	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__PB19
testkevin193	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales
testkevin194	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Thermodesulfobacteriales
testkevin195	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales
testkevin196	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other
testkevin197	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales
testkevin198	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales
testkevin199	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales
testkevin200	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales
testkevin201	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales
testkevin202	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales
testkevin203	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales
testkevin204	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales
testkevin205	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales
testkevin206	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales
testkevin207	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
testkevin208	k__Bacteria;p__SAR406;c__AB16;o__
testkevin209	k__Bacteria;p__SAR406;c__AB16;o__SSW63Au
testkevin210	k__Bacteria;p__SR1;c__;o__
testkevin211	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales
testkevin212	k__Bacteria;p__TM7;c__TM7-3;o__
testkevin213	k__Bacteria;p__TM7;c__TM7-3;o__CW040
testkevin214	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39
testkevin215	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28
